Proverb_ID,Proverb_Text,Language,Region,Theme,Sub-Theme,Meaning,Source
P261,Put your money where your mouth is,English,North America,Action,Commitment,Back up your words with real action or investment,American Proverb
P262,Red sky at night shepherd's delight,English,Europe,Weather,Prediction,Red sky in evening predicts good weather tomorrow,English Proverb
P263,Revenge is a dish best served cold,French,Europe,Revenge,Patience,Delayed calculated revenge is more effective than immediate,French Proverb
P264,See no evil hear no evil speak no evil,Japanese,Asia,Morality,Wisdom,Avoid involvement with or spreading of wrongdoing,Japanese Proverb
P265,Seeing is believing,English,Europe,Truth,Evidence,Visual proof is the most convincing evidence,English Proverb
P266,Seek and ye shall find,Biblical,Middle East,Search,Success,Those who actively look will discover what they seek,Biblical Proverb
P267,Silence is golden,English,Europe,Communication,Quietness,Often not speaking is the wisest choice,English Proverb
P268,Slow and steady wins the race,English,Europe,Perseverance,Consistency,Consistent steady effort beats hasty rushing,English Proverb
P269,Spare the rod and spoil the child,Biblical,Middle East,Parenting,Discipline,Children need discipline to develop properly,Biblical Proverb
P270,Speak of the devil and he shall appear,English,Europe,Coincidence,Timing,People you mention often appear unexpectedly,English Proverb
P271,Sticks and stones may break my bones but words will never hurt me,English,North America,Resilience,Words,Physical harm is worse than verbal insults,American Proverb
P272,Take care of the pennies and the pounds will take care of themselves,English,Europe,Financial Wisdom,Frugality,Small savings accumulate into large amounts,English Proverb
P273,Talk is cheap,English,North America,Action,Words,Words are easy while actions are valuable and difficult,American Proverb
P274,The best defense is a good offense,English,North America,Strategy,Aggression,Attacking prevents your opponent from attacking you,American Proverb
P275,The best laid plans of mice and men often go awry,Scottish,Europe,Planning,Failure,Even excellent plans can fail unexpectedly,Scottish Proverb
P276,The best things in life are free,English,North America,Value,Happiness,The most valuable things money cannot buy,American Proverb
P277,The bigger they are the harder they fall,English,Europe,Power,Downfall,Powerful people fail more dramatically and completely,English Proverb
P278,The calm before the storm,English,Europe,Warning,Anticipation,Unusual quiet often precedes trouble or chaos,English Proverb
P279,The course of true love never did run smooth,English,Europe,Love,Difficulty,Romantic relationships always face obstacles and challenges,English Proverb
P280,The cure is worse than the disease,English,Europe,Solutions,Problems,Sometimes remedies cause more harm than the original problem,English Proverb
P281,The customer is always right,English,North America,Business,Service,Always prioritize customer satisfaction in business,American Proverb
P282,The darkest hour is just before the dawn,English,Europe,Hope,Timing,Things reach their worst point right before improving,English Proverb
P283,The end justifies the means,Italian,Europe,Ethics,Goals,Achieving good results justifies questionable methods,Italian Proverb
P284,The exception proves the rule,Latin,Ancient Rome,Logic,Rules,Exceptions actually confirm that general rules exist,Latin Proverb
P285,The eyes are the window to the soul,English,Europe,Character,Perception,Eyes reveal inner nature and true feelings,English Proverb
P286,The first step is always the hardest,English,Europe,Beginning,Challenge,Starting something new is the most difficult part,English Proverb
P287,The hand that rocks the cradle rules the world,English,Europe,Motherhood,Influence,Mothers who raise children shape society and future,English Proverb
P288,The leopard cannot change his spots,Biblical,Middle East,Character,Permanence,People cannot fundamentally change their nature,Biblical Proverb
P289,The longest journey starts with a single step,Chinese,Asia,Beginning,Progress,Great undertakings begin with small initial actions,Chinese Proverb
P290,The more you have the more you want,English,Europe,Desire,Greed,Wealth and possessions increase rather than satisfy desire,English Proverb
P291,The only constant is change,Greek,Europe,Change,Life,Everything in life changes constantly,Greek Proverb
P292,The pot calling the kettle black,English,Europe,Hypocrisy,Criticism,Criticizing others for faults you yourself possess,English Proverb
P293,The proof is in the pudding,English,Europe,Evidence,Results,Quality and truth are shown through actual results and experience,English Proverb
P294,The spirit is willing but the flesh is weak,Biblical,Middle East,Motivation,Limitation,Good intentions exceed physical or mental ability to follow through,Biblical Proverb
P295,The straw that broke the camel's back,Arabic,Middle East,Limits,Breaking Point,The final small addition that causes complete collapse,Arabic Proverb
P296,The way to a man's heart is through his stomach,English,Europe,Love,Food,Good cooking wins a man's affection,English Proverb
P297,There are none so blind as those who will not see,English,Europe,Ignorance,Willfulness,Intentional ignorance is the worst kind of blindness,English Proverb
P298,There are two sides to every story,English,Europe,Perspective,Truth,Multiple valid viewpoints exist for any situation,English Proverb
P299,There but for the grace of God go I,English,Europe,Gratitude,Fortune,I could easily face the same misfortunes as others,English Proverb
P300,There is honor among thieves,English,Europe,Ethics,Loyalty,Even criminals have codes of conduct and loyalty,English Proverb
P301,There is no smoke without fire,English,Europe,Truth,Rumor,Rumors and suspicions usually have some factual basis,English Proverb
P302,There is safety in numbers,English,Europe,Security,Groups,Being in a group provides protection and security,English Proverb
P303,There's more than one way to skin a cat,English,North America,Solutions,Flexibility,Multiple approaches or methods can achieve the same goal,American Proverb
P304,There's no such thing as a free lunch,English,North America,Economics,Cost,Everything has a cost even if not immediately obvious,American Proverb
P305,There's no time like the present,English,Europe,Action,Timing,Now is the best time to act rather than delaying,English Proverb
P306,Third time lucky,English,Europe,Persistence,Success,Success often comes after two initial failures,English Proverb
P307,Those who cannot remember the past are condemned to repeat it,Modern,North America,History,Learning,Forgetting history causes repetition of past mistakes,American Proverb
P308,Time and tide wait for no man,English,Europe,Time,Urgency,Time passes regardless of anyone's readiness or wishes,English Proverb
P309,Time flies when you're having fun,English,North America,Time,Enjoyment,Pleasant experiences make time seem to pass quickly,American Proverb
P310,Time heals all wounds,English,Europe,Healing,Time,Emotional pain diminishes and heals with passage of time,English Proverb
P311,Time will tell,English,Europe,Truth,Future,The truth will eventually become clear with time,English Proverb
P312,To err is human to forgive divine,English,Europe,Forgiveness,Humanity,Making mistakes is natural while forgiving them is godly,English Proverb
P313,To the victor go the spoils,English,North America,Victory,Reward,Winners take all the rewards and benefits,American Proverb
P314,Tomorrow is another day,English,Europe,Hope,Future,Each new day brings new opportunities and fresh starts,English Proverb
P315,Too little too late,English,North America,Timing,Insufficiency,Inadequate action taken after the crucial moment has passed,American Proverb
P316,Truth is stranger than fiction,English,Europe,Reality,Surprise,Real events can be more unbelievable than imaginary ones,English Proverb
P317,Turn the other cheek,Biblical,Middle East,Forgiveness,Pacifism,Don't retaliate when wronged respond with patience,Biblical Proverb
P318,Two wrongs don't make a right,English,Europe,Ethics,Justice,Retaliating against wrongdoing doesn't justify your own wrongdoing,English Proverb
P319,Variety is the spice of life,English,Europe,Diversity,Enjoyment,Diversity and change make life interesting and enjoyable,English Proverb
P320,Virtue is its own reward,English,Europe,Morality,Satisfaction,Being virtuous is inherently satisfying regardless of external rewards,English Proverb
P321,Walls have ears,French,Europe,Privacy,Caution,Someone might be secretly listening to your conversations,French Proverb
P322,Waste not want not,English,Europe,Frugality,Conservation,Avoiding waste prevents future shortage and need,English Proverb
P323,We'll cross that bridge when we come to it,English,North America,Planning,Present,Deal with problems when they actually arise not before,American Proverb
P324,What goes up must come down,English,Europe,Physics,Inevitability,Everything that rises will eventually fall,English Proverb
P325,What the eye doesn't see the heart doesn't grieve over,English,Europe,Ignorance,Emotion,Not knowing about problems prevents emotional distress,English Proverb
P326,What you don't know won't hurt you,English,Europe,Ignorance,Protection,Ignorance of problems can sometimes be protective,English Proverb
P327,What's done is done,English,Europe,Acceptance,Past,Accept past events that cannot be changed,English Proverb
P328,What's good for the goose is good for the gander,English,Europe,Fairness,Equality,The same rules and standards should apply to everyone,English Proverb
P329,When life gives you lemons make lemonade,English,North America,Optimism,Adversity,Make the best of bad or difficult situations,American Proverb
P330,When one door closes another opens,English,Europe,Opportunity,Hope,Lost opportunities lead to new different opportunities,English Proverb
P331,When poverty comes in the door love flies out the window,English,Europe,Poverty,Relationships,Financial hardship severely strains romantic relationships,English Proverb
P332,When the going gets tough the tough get going,English,North America,Resilience,Challenge,Strong people persevere and work harder during difficulties,American Proverb
P333,Where there's a will there's a way,English,Europe,Determination,Success,Strong determination finds methods to overcome obstacles,English Proverb
P334,Where there's life there's hope,English,Europe,Hope,Life,As long as you're alive possibilities and hope exist,English Proverb
P335,You can catch more flies with honey than with vinegar,English,North America,Persuasion,Kindness,Kindness and gentleness are more effective than harshness,American Proverb
P336,You can't get blood out of a stone,English,Europe,Impossibility,Limits,You cannot extract something that doesn't exist,English Proverb
P337,You can't have your cake and eat it too,English,Europe,Choice,Consequences,You cannot enjoy conflicting benefits simultaneously,English Proverb
P338,You can't make a silk purse out of a sow's ear,English,Europe,Quality,Limitations,You cannot create quality from inherently poor materials,English Proverb
P339,You can't run with the hare and hunt with the hounds,English,Europe,Loyalty,Sides,You cannot support both opposing sides simultaneously,English Proverb
P340,You can't see the forest for the trees,English,Europe,Perspective,Details,Being too focused on details prevents seeing the whole picture,English Proverb
P341,You can't unscramble eggs,English,North America,Irreversibility,Consequences,Some actions and changes cannot be undone,American Proverb
P342,You must learn to walk before you can run,English,Europe,Learning,Progress,Master fundamental skills before attempting advanced ones,English Proverb
P343,You scratch my back and I'll scratch yours,English,North America,Reciprocity,Cooperation,Exchange favors and help for mutual benefit,American Proverb
P344,Youth is wasted on the young,English,Europe,Age,Wisdom,Young people don't appreciate their youth and vitality,English Proverb
P345,A watched kettle never boils,English,Europe,Patience,Waiting,Watching and waiting makes time feel much longer,English Proverb
P346,The show must go on,English,Europe,Perseverance,Entertainment,Continue despite difficulties problems or setbacks,English Proverb
P347,Every man has his price,English,Europe,Corruption,Morality,Everyone can be bribed or bought with enough incentive,English Proverb
P348,Fight fire with fire,English,Europe,Strategy,Retaliation,Use the same methods or tactics as your opponent,English Proverb
P349,Keep your powder dry,English,Europe,Preparation,Readiness,Stay prepared and ready for action when needed,English Proverb
P350,Life is what you make it,English,North America,Agency,Control,You create and shape your own life through choices,American Proverb
P351,One man's loss is another man's gain,English,Europe,Economics,Fortune,Losses and gains are often redistributed between people,English Proverb
P352,Practice what you preach,English,Europe,Integrity,Consistency,Live according to your own advice and teachings,English Proverb
P353,The devil finds work for idle hands,English,Europe,Idleness,Trouble,Lack of activity and purpose leads to mischief,English Proverb
P354,The die is cast,Latin,Ancient Rome,Decision,Commitment,The decision has been made and is now irreversible,Latin Proverb
P355,The enemy of my enemy is my friend,Arabic,Middle East,Alliance,Strategy,Common enemies create unlikely friendships and alliances,Arabic Proverb
P356,There is no fool like an old fool,English,Europe,Age,Foolishness,Older people who act foolishly should know better,English Proverb
P357,There's a first time for everything,English,Europe,Experience,Novelty,Every experience has an initial occurrence,English Proverb
P358,Things aren't always what they seem,English,Europe,Perception,Reality,Appearances often deceive and mislead,English Proverb
P359,Think before you speak,English,Europe,Communication,Caution,Consider your words carefully before saying them,English Proverb
P360,To know all is to forgive all,French,Europe,Understanding,Forgiveness,Complete understanding leads naturally to forgiveness,French Proverb
P361,Two's company three's a crowd,English,Europe,Relationships,Privacy,Two people enjoy intimacy while a third intrudes,English Proverb
P362,United we stand divided we fall,Greek,Europe,Unity,Strength,Unity provides strength while division causes weakness,Greek Proverb
P363,Walk softly and carry a big stick,English,North America,Diplomacy,Power,Be diplomatic but maintain power and readiness,American Proverb
P364,We are what we eat,English,Europe,Health,Diet,Our diet directly affects our physical and mental state,English Proverb
P365,When it rains it pours,English,North America,Luck,Timing,Troubles or events tend to come all at once,American Proverb
P366,When push comes to shove,English,North America,Crisis,Action,When a situation becomes truly critical,American Proverb
P367,When the chips are down,English,North America,Adversity,Truth,Difficult times reveal true character and priorities,American Proverb
P368,Where ignorance is bliss 'tis folly to be wise,English,Europe,Knowledge,Happiness,Sometimes remaining ignorant is preferable to knowing,English Proverb
P369,You are never too old to learn,English,Europe,Learning,Age,Learning ability and opportunity have no age limit,English Proverb
P370,You cannot get a quart into a pint pot,English,Europe,Limits,Capacity,You cannot exceed natural physical limits and capacity,English Proverb
P371,You cannot have it both ways,English,Europe,Choice,Contradiction,You must choose between mutually exclusive options,English Proverb
P372,You cannot make bricks without straw,English,Europe,Resources,Necessity,You need proper materials and resources to complete tasks,English Proverb
P373,You cannot please everyone,English,Europe,Acceptance,Criticism,Universal approval and satisfaction is impossible to achieve,English Proverb
P374,You never know what you can do till you try,English,Europe,Potential,Action,Attempting reveals your true abilities and potential,English Proverb
P375,A new broom sweeps clean,English,Europe,Change,Leadership,New leaders make changes and improvements initially,English Proverb
P376,A trouble shared is a trouble halved,English,Europe,Support,Sharing,Sharing problems with others reduces their burden significantly,English Proverb
P377,Bad news travels fast,English,Europe,Communication,Negativity,Negative information spreads more quickly than positive,English Proverb
P378,Behind every successful man is a strong woman,English,North America,Partnership,Success,Successful people often have supportive capable partners,American Proverb
P379,Comparisons are odious,English,Europe,Judgment,Fairness,Comparing people is unfair and unpleasant,English Proverb
P380,Desperate times call for desperate measures,English,Europe,Crisis,Action,Extreme situations require extreme extraordinary actions,English Proverb
P381,Don't change horses in midstream,English,North America,Consistency,Stability,Don't make major changes during critical times,American Proverb
P382,Don't cut off your nose to spite your face,English,Europe,Self-Harm,Anger,Don't harm yourself in attempts to hurt others,English Proverb
P383,Don't get mad get even,English,North America,Revenge,Strategy,Retaliate effectively and calmly rather than emotionally,American Proverb
P384,Don't kill the goose that lays the golden eggs,Greek,Europe,Wisdom,Greed,Don't destroy sources of ongoing benefit for immediate gain,Greek Proverb
P385,Don't meet trouble halfway,English,Europe,Worry,Anticipation,Don't worry about or seek out future problems,English Proverb
P386,Don't teach your grandmother to suck eggs,English,Europe,Respect,Experience,Don't presume to instruct those more experienced,English Proverb
P387,Everyone wants to go to heaven but nobody wants to die,English,North America,Desire,Sacrifice,People want rewards without accepting necessary costs,American Proverb
P388,Fine words butter no parsnips,English,Europe,Action,Words,Mere words without action accomplish nothing practical,English Proverb
P389,From small beginnings come great things,Latin,Ancient Rome,Growth,Potential,Great achievements always start with small actions,Latin Proverb
P390,Give a dog a bad name and hang him,English,Europe,Reputation,Judgment,Bad reputations are very difficult to overcome,English Proverb
P391,Half the truth is often a whole lie,English,Europe,Truth,Deception,Partial truth can be as misleading as complete lies,English Proverb
P392,He that is down needs fear no fall,English,Europe,Humility,Security,Those at the bottom have nothing left to lose,English Proverb
P393,He who fights and runs away lives to fight another day,English,Europe,Strategy,Survival,Strategic retreat preserves ability to fight later,English Proverb
P394,If a job's worth doing it's worth doing well,English,Europe,Quality,Effort,Tasks worth attempting deserve full proper effort,English Proverb
P395,If the shoe fits wear it,English,North America,Self-Awareness,Acceptance,If criticism applies to you accept it gracefully,American Proverb
P396,If you want a thing done well do it yourself,English,Europe,Self-Reliance,Quality,Personal action ensures proper quality and completion,English Proverb
P397,It is better to travel hopefully than to arrive,Scottish,Europe,Journey,Destination,The journey and process matter more than the goal,Scottish Proverb
P398,It's an ill bird that fouls its own nest,English,Europe,Loyalty,Home,Don't damage or criticize your own home or interests,English Proverb
P399,Let well alone,English,Europe,Caution,Stability,Don't disturb or interfere with what already works,English Proverb
P400,Life begins at forty,English,North America,Age,Beginning,Maturity and middle age bring new opportunities and freedom,American Proverb
P401,Look after the pennies and the pounds will look after themselves,English,Europe,Financial Wisdom,Frugality,Small careful savings accumulate into large amounts,English Proverb
P402,Make haste slowly,Latin,Ancient Rome,Balance,Efficiency,Work quickly but maintain care and quality,Latin Proverb
P403,Manners maketh man,English,Europe,Character,Behavior,Good manners and behavior define true character,English Proverb
P404,Murder will out,English,Europe,Truth,Justice,Serious crimes will eventually be discovered and revealed,English Proverb
P405,Nature abhors a vacuum,Latin,Ancient Rome,Nature,Physics,Empty spaces and voids are naturally filled,Latin Proverb
P406,Needs must when the devil drives,English,Europe,Necessity,Action,Desperate circumstances force necessary action,English Proverb
P407,Never let the sun go down on your anger,Biblical,Middle East,Forgiveness,Emotion,Resolve conflicts and anger before day's end,Biblical Proverb
P408,No man can serve two masters,Biblical,Middle East,Loyalty,Conflict,You cannot maintain divided or conflicting loyalties,Biblical Proverb
P409,One hand washes the other,Latin,Ancient Rome,Cooperation,Reciprocity,Mutual assistance and cooperation benefits both parties,Latin Proverb
P410,One volunteer is worth ten pressed men,English,Europe,Motivation,Willingness,Willing enthusiastic participants are far more valuable,English Proverb
P411,Opportunity makes the thief,English,Europe,Crime,Temptation,Easy opportunities and temptations lead people to wrongdoing,English Proverb
P412,Out of the mouths of babes and sucklings,Biblical,Middle East,Wisdom,Children,Children often speak profound unexpected truths,Biblical Proverb
P413,Physician heal thyself,Biblical,Middle East,Self-Improvement,Hypocrisy,Fix your own problems before addressing others',Biblical Proverb
P414,Poverty is not a crime,Russian,Europe,Justice,Poverty,Being poor is not morally wrong or criminal,Russian Proverb
P415,Put your best foot forward,English,Europe,Effort,Presentation,Make your very best effort and impression,English Proverb
P416,Respect is earned not given,Modern,Global,Respect,Achievement,Respect must be deserved through actions not automatically given,Contemporary Saying
P417,Self-praise is no recommendation,English,Europe,Humility,Modesty,Praising yourself is not credible or convincing,English Proverb
P418,Set a thief to catch a thief,English,Europe,Strategy,Experience,Use similar tactics and experience to combat problems,English Proverb
P419,Silence gives consent,Latin,Ancient Rome,Agreement,Communication,Not objecting to something implies agreement with it,Latin Proverb
P420,Six of one and half a dozen of the other,English,Europe,Equality,Choice,Two options are essentially equivalent in value,English Proverb
P421,Something is better than nothing,English,Europe,Gratitude,Value,Any amount or help has value compared to none,English Proverb
P422,Speech is silver but silence is golden,English,Europe,Communication,Wisdom,Silence is often more valuable and wise than speaking,English Proverb
P423,Take the rough with the smooth,English,Europe,Acceptance,Balance,Accept both difficult and pleasant aspects of life,English Proverb
P424,Tell the truth and shame the devil,English,Europe,Honesty,Courage,Be honest and truthful despite potential consequences,English Proverb
P425,That's the way the cookie crumbles,English,North America,Acceptance,Fate,Accept how things turn out even if disappointing,American Proverb
P426,The acorn doesn't fall far from the tree,English,Europe,Family,Resemblance,Children closely resemble their parents,English Proverb
P427,The cobbler always wears the worst shoes,English,Europe,Irony,Neglect,Professionals often neglect their own area of expertise,English Proverb
P428,The devil looks after his own,English,Europe,Evil,Fortune,Bad or immoral people often seem to prosper,English Proverb
P429,The bamboo that bends is stronger than the oak that resists,Japanese,Asia,Flexibility,Strength,Adaptability and flexibility are forms of strength,Japanese Proverb
P430,A closed mouth catches no flies,Spanish,Europe,Discretion,Wisdom,Staying silent avoids trouble and problems,Spanish Proverb
P431,The crow thinks its own bird fairest,English,Europe,Bias,Perception,Everyone thinks their own is best regardless of reality,English Proverb
P432,Don't count your chickens until they cross the road,English,North America,Caution,Planning,Don't assume outcomes until fully realized,American Proverb
P433,A good beginning makes a good ending,English,Europe,Success,Foundation,How you start determines how you finish,English Proverb
P434,He who slings mud loses ground,English,North America,Integrity,Reputation,Attacking others damages your own standing,American Proverb
P435,The pitcher goes often to the well but is broken at last,English,Europe,Risk,Limits,Repeated risks eventually lead to failure,English Proverb
P436,Clothes don't make the monk but they open doors,Modern,Global,Appearance,Opportunity,Presentation creates opportunities even if it doesn't define character,Contemporary Saying
P437,A rolling stone gathers momentum,Modern,North America,Progress,Action,Continuous action builds force and effectiveness,American Proverb
P438,The squeaking gate hangs longest,English,Europe,Persistence,Survival,Those who complain or persist often last the longest,English Proverb
P439,Better a live dog than a dead lion,Biblical,Middle East,Survival,Reality,Being alive in humble circumstances beats noble death,Biblical Proverb
P440,The moon is not shamed by the barking of dogs,Chinese,Asia,Dignity,Criticism,Great things are unaffected by petty criticism,Chinese Proverb
P441,One rotten apple spoils the barrel,English,Europe,Influence,Contamination,One bad element can corrupt an entire group,English Proverb
P442,The fish rots from the head down,Turkish,Middle East,Leadership,Corruption,Organizations fail due to leadership problems first,Turkish Proverb
P443,You can't soar with eagles if you scratch with turkeys,English,North America,Ambition,Association,Your companions limit or enable your potential,American Proverb
P444,A bird is known by its song and a man by his talk,Russian,Europe,Character,Speech,Speech reveals true character and nature,Russian Proverb
P445,The gem cannot be polished without friction,Chinese,Asia,Growth,Difficulty,Improvement requires challenge and hardship,Chinese Proverb
P446,A single arrow is easily broken but not ten in a bundle,Japanese,Asia,Unity,Strength,Unity provides strength that individuals lack,Japanese Proverb
P447,Don't dig your grave with your own knife and fork,English,Europe,Health,Self-Harm,Don't destroy yourself through poor habits,English Proverb
P448,The cheapest is always the most expensive,Swedish,Europe,Quality,Value,Low quality items cost more in the long run,Swedish Proverb
P449,If you chase two rabbits you will lose them both,Russian,Europe,Focus,Priorities,Pursuing multiple goals simultaneously leads to failure,Russian Proverb
P450,The tongue has no bones but it breaks bones,Greek,Europe,Words,Power,Words can cause serious harm despite being intangible,Greek Proverb
P451,A ship in harbor is safe but that's not what ships are for,English,North America,Risk,Purpose,Avoiding all risk means not fulfilling your purpose,American Proverb
P452,The tail cannot wag the dog,English,Europe,Power,Order,Minor elements cannot control major ones,English Proverb
P453,Don't bark if you can't bite,English,North America,Action,Credibility,Don't threaten unless you can follow through,American Proverb
P454,Even a hare will bite when it is cornered,Korean,Asia,Desperation,Defense,Even gentle creatures become dangerous when threatened,Korean Proverb
P455,The loudest drum has nothing in it,English,Europe,Substance,Appearance,Those who boast most often have least to offer,English Proverb
P456,Better to be alone than in bad company,French,Europe,Relationships,Solitude,Isolation is preferable to negative associations,French Proverb
P457,You cannot cross the sea merely by standing and staring at the water,Indian,Asia,Action,Dreams,Achievement requires action not just contemplation,Indian Proverb
P458,The mouse that has but one hole is quickly taken,Italian,Europe,Preparation,Options,Having alternatives and backup plans ensures survival,Italian Proverb
P459,The tree remembers what the axe forgets,African,Africa,Memory,Harm,Victims remember harm that perpetrators dismiss,African Proverb
P460,A coward dies a thousand deaths a brave man only once,English,Europe,Courage,Fear,Fear causes more suffering than actual danger,English Proverb
P461,The ax forgets but the tree remembers,African,Africa,Justice,Memory,Those harmed remember while those who harm forget,African Proverb
P462,The frog in the well knows nothing of the great ocean,Japanese,Asia,Perspective,Limitation,Limited experience creates limited understanding,Japanese Proverb
P463,You can't wake someone who is pretending to be asleep,Navajo,North America,Willfulness,Ignorance,You cannot convince those who refuse to understand,Native American Proverb
P464,The wise man bridges the gap with his tongue,African,Africa,Communication,Conflict Resolution,Words and diplomacy can resolve conflicts,African Proverb
P465,A full cup must be carried steadily,English,Europe,Success,Caution,Abundance and success require careful management,English Proverb
P466,The wolf changes his coat but not his disposition,Spanish,Europe,Character,Permanence,External changes don't alter fundamental nature,Spanish Proverb
P467,Don't sell the bear's skin before you've caught the bear,French,Europe,Caution,Premature Action,Don't profit from or plan around uncertain outcomes,French Proverb
P468,He who would climb the ladder must begin at the bottom,English,Europe,Progress,Hierarchy,Advancement requires starting with fundamentals,English Proverb
P469,The river that forgets its source will dry up,African,Africa,Gratitude,Origins,Forgetting your roots leads to failure,African Proverb
P470,When spider webs unite they can tie up a lion,Ethiopian,Africa,Cooperation,Power,Collective action achieves what individuals cannot,Ethiopian Proverb
P471,The dog that trots about finds a bone,English,Europe,Effort,Reward,Active effort leads to opportunities and rewards,English Proverb
P472,A single bracelet does not jingle,Congolese,Africa,Community,Cooperation,Achievement and joy require multiple participants,Congolese Proverb
P473,Where water has been the grass will grow again,African,Africa,Recovery,Hope,Resources and care enable renewal and growth,African Proverb
P474,The goat eats where it is tethered,African,Africa,Acceptance,Circumstances,You must work with the situation you're given,African Proverb
P475,A wise man changes his mind a fool never will,Spanish,Europe,Wisdom,Flexibility,Intelligence includes willingness to reconsider positions,Spanish Proverb
P476,Better a diamond with a flaw than a pebble without one,Chinese,Asia,Quality,Value,Flawed excellence exceeds perfect mediocrity,Chinese Proverb
P477,The scaffold is the altar of tyranny,French,Europe,Justice,Oppression,Execution and violence are tools of unjust power,French Proverb
P478,Life is not a continuum of pleasant choices but of inevitable problems,Modern,Global,Reality,Challenge,Life consists of managing difficulties not enjoying ease,Contemporary Saying
P479,The bee is more honored than other animals not because she labors but because she labors for others,Greek,Europe,Service,Value,Working for others' benefit earns respect,Greek Proverb
P480,One who plants a garden plants happiness,Chinese,Asia,Creation,Joy,Creating beauty and growth brings personal fulfillment,Chinese Proverb
P481,A clever person turns great troubles into little ones and little ones into none at all,Chinese,Asia,Problem-Solving,Wisdom,Intelligence minimizes and eliminates difficulties,Chinese Proverb
P482,The fire you kindle for your enemy often burns yourself more than them,Chinese,Asia,Revenge,Consequences,Seeking revenge often harms you more than your target,Chinese Proverb
P483,A man who uses force is afraid of reasoning,Kenyan,Africa,Violence,Weakness,Those who resort to violence lack confidence in their arguments,Kenyan Proverb
P484,Cross the river in a crowd and the crocodile won't eat you,African,Africa,Safety,Numbers,Group action provides protection from danger,African Proverb
P485,The wealth which enslaves the owner isn't wealth,Yoruba,Africa,Materialism,Freedom,Possessions that control you have negative value,African Proverb
P486,Show me your friend and I will show you your character,Russian,Europe,Relationships,Influence,Your associates reveal your true nature,Russian Proverb
P487,The eye cannot see itself,Albanian,Europe,Self-Awareness,Limitation,Self-perception is inherently limited and flawed,Albanian Proverb
P488,What the fool does in the end the wise man does at the beginning,Spanish,Europe,Wisdom,Timing,Intelligent people act early while fools delay,Spanish Proverb
P489,You never step in the same river twice,Greek,Europe,Change,Impermanence,Everything is constantly changing and evolving,Greek Proverb
P490,A kind word warms for three winters,Chinese,Asia,Kindness,Duration,Small kindnesses have lasting powerful effects,Chinese Proverb
P491,The tallest trees catch the most wind,Chinese,Asia,Success,Challenge,Achievement and prominence attract criticism and difficulty,Chinese Proverb
P492,A journey of a thousand miles must begin where you stand,Chinese,Asia,Action,Beginning,Start from your current position not an ideal one,Chinese Proverb
P493,If you bow at all bow low,Chinese,Asia,Respect,Thoroughness,Do things completely or not at all,Chinese Proverb
P494,The reputation of a thousand years may be undermined by the conduct of one hour,Japanese,Asia,Reputation,Fragility,Long-built reputations can be destroyed instantly,Japanese Proverb
P495,A society grows great when old men plant trees whose shade they know they shall never sit in,Greek,Europe,Legacy,Selflessness,True greatness involves sacrificing for future generations,Greek Proverb
P496,When eating bamboo sprouts remember the man who planted them,Chinese,Asia,Gratitude,Memory,Remember and honor those who provided for you,Chinese Proverb
P497,The best time for planning a voyage is when you're on dry land,Chinese,Asia,Preparation,Timing,Plan carefully before beginning difficult undertakings,Chinese Proverb
P498,Darkness cannot drive out darkness only light can do that,Modern,North America,Peace,Method,Negativity must be countered with positivity not more negativity,American Proverb
P499,The person who removes a mountain begins by carrying away small stones,Chinese,Asia,Perseverance,Progress,Great achievements happen through small consistent efforts,Chinese Proverb
P500,Do not protect yourself by a fence but rather by your friends,Czech,Europe,Relationships,Security,Relationships provide better protection than barriers,Czech Proverb
